epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,87.9561,1.86441,3.12544,1.69862,0.34672,0.27899,0.22896,0.12005,1.9002,2.49358,1.65874,0.00166606,0.000555353,0.00166606,0.000555353,0.00166606,0.000555353,0.00166606,0.000555353
2,151.11,1.79544,2.34295,1.6177,0.49187,0.3724,0.37905,0.19341,1.84213,1.98515,1.61756,0.00316807,0.00105602,0.00316807,0.00105602,0.00316807,0.00105602,0.00316807,0.00105602
3,209.568,1.76858,2.14147,1.58721,0.47346,0.4231,0.41087,0.2133,1.80126,1.90576,1.5869,0.00450505,0.00150168,0.00450505,0.00150168,0.00450505,0.00150168,0.00450505,0.00150168
4,266.946,1.73434,2.04894,1.57651,0.51233,0.42587,0.43064,0.2263,1.78366,1.80764,1.56035,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
5,323.439,1.72548,1.96398,1.55457,0.53833,0.44418,0.46211,0.23406,1.78721,1.73815,1.56112,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,379.332,1.71071,1.90262,1.53685,0.56022,0.4455,0.46957,0.24243,1.78363,1.69713,1.53795,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,436.119,1.71626,1.85555,1.54232,0.56139,0.45409,0.48542,0.25685,1.75528,1.6388,1.54009,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,493.124,1.68626,1.81332,1.52684,0.5918,0.45616,0.49518,0.25839,1.74013,1.61221,1.52235,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,551.393,1.68501,1.76911,1.51494,0.58445,0.48927,0.51564,0.26694,1.74084,1.58332,1.5037,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,607.379,1.66458,1.74535,1.50786,0.61293,0.48254,0.52405,0.27141,1.73472,1.5562,1.51425,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
11,664.098,1.71047,1.77489,1.53825,0.61115,0.48004,0.52654,0.27698,1.71179,1.56341,1.48549,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
12,719.865,1.66917,1.70724,1.5167,0.59669,0.49942,0.54045,0.28301,1.71391,1.52752,1.47488,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
13,774.132,1.66077,1.65536,1.50936,0.60931,0.50575,0.54442,0.29128,1.69946,1.5005,1.46844,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
14,829.107,1.63769,1.60698,1.49166,0.60662,0.4971,0.54519,0.28843,1.69935,1.48451,1.46856,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
15,883.811,1.61918,1.57121,1.4782,0.61404,0.51243,0.55224,0.2948,1.6911,1.46354,1.45265,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
16,939.733,1.6157,1.54641,1.47307,0.60584,0.51654,0.55125,0.29689,1.68846,1.44339,1.45797,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
17,995.845,1.60305,1.53233,1.46116,0.63294,0.51949,0.56205,0.30227,1.67757,1.42038,1.45038,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
18,1051.94,1.5871,1.49374,1.45112,0.63851,0.51482,0.56609,0.30554,1.6691,1.41778,1.4429,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
19,1108.38,1.56914,1.47189,1.43703,0.64658,0.52262,0.5735,0.30733,1.66819,1.40953,1.43619,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
20,1164.11,1.56147,1.45681,1.42876,0.63918,0.52927,0.57535,0.30983,1.66223,1.40175,1.43609,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
